cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,cell_line_name_og,depmap_id,stripped_cell_line_name
HDLM2,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,924110,Male,DSMZ,0,-0.585865459,Suspension,RPMI + 10% FBS,76.6,CVCL_0009,1510,pleural_effusion,,Lymphoma,"B-cell, Hodgkins",74,SIDM01064,,lymphocyte,hodgkin_lymphoma,,,HDLM-2,ACH-000267,HDLM2
HDMYZ,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907050,Male,DSMZ,2,-3.016200318,,RPMI + 10% heat inactivated FBS,78.4,CVCL_1273,883,pleural_effusion,,Lymphoma,"B-cell, Hodgkins",29,SIDM01063,,lymphocyte,hodgkin_lymphoma,,,HD-MY-Z,ACH-000190,HDMYZ
HDQP1,HDQP1_BREAST,,1290922,Female,DSMZ,,,,,,CVCL_2067,743,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,50,SIDM01062,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,HDQ-P1,ACH-000643,HDQP1
HEC108,HEC108_ENDOMETRIUM,,,Female,HSRRB,,,,,,CVCL_2923,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,HEC-108,ACH-000990,HEC108
HEC151,HEC151_ENDOMETRIUM,,,Female,HSRRB,0,-1.573243187,,EMEM + 15% FBS,56,CVCL_2925,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,HEC-151,ACH-000972,HEC151
HEC1A,HEC1A_ENDOMETRIUM,,,Female,ATCC,0,-1.830533284,Adherent,McCoy's 5A + 10% FBS,91.6,CVCL_0293,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,71,SIDM00595,,uterus,endometrial_adenocarcinoma,,,HEC-1-A,ACH-000954,HEC1A
HEC1B,HEC1B_ENDOMETRIUM,,,Female,ATCC,2,-3.706515885,Adherent,EMEM + 10% FBS,64.5,CVCL_0294,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,71,SIDM01241,,uterus,endometrial_adenocarcinoma,,,HEC-1-B,ACH-000941,HEC1B
HEC251,HEC251_ENDOMETRIUM,,,Female,HSRRB,2,-2.951190678,,EMEM + 0.15% FBS,82.6,CVCL_2927,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,HEC-251,ACH-000996,HEC251
HEC265,HEC265_ENDOMETRIUM,,,Female,HSRRB,2,-3.59520845,,EMEM + 15% FBS,83.8,CVCL_2928,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,HEC-265,ACH-000946,HEC265
HEC50B,HEC50B_ENDOMETRIUM,,,Female,HSRRB,2,-3.887294115,,EMEM + 15% FBS,87.4,CVCL_2929,,ascites,Metastasis,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,HEC-50B,ACH-000831,HEC50B
HEC59,HEC59_ENDOMETRIUM,,,Female,HSRRB,2,-3.891988092,,EMEM + 15% FBS,66.5,CVCL_2930,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,HEC-59,ACH-000994,HEC59
HEC6,HEC6_ENDOMETRIUM,,,Female,HSRRB,2,-2.901677711,,EMEM + 15% FBS,61.9,CVCL_2931,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,HEC-6,ACH-000984,HEC6
HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053,Male,DSMZ,2,-3.079202028,Suspension,RPMI + 10% FBS,52.4,CVCL_0001,783,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00594,,blood,AML,M6,,HEL,ACH-000004,HEL
HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,2,-2.404409173,Suspension,RPMI + 10% FBS,86.6,CVCL_2481,,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00593,,blood,AML,M6,,HEL 92.1.7,ACH-000005,HEL9217
HELA,HELA_CERVIX,HeLa,1298134,Female,ATCC,,,,,,CVCL_0030,1799,cervix,,Cervical Cancer,Carcinoma,,SIDM00846,,cervix,cervical_carcinoma,,,,ACH-001086,HELA
HEP3B217,HEP3B217_LIVER,,1240147,Male,ATCC,,,,,,CVCL_0326,1922,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,8,SIDM00672,,liver,hepatocellular_carcinoma,,,HEP 3B2.1-7,ACH-000625,HEP3B217
HEPG2,HEPG2_LIVER,,,Male,ATCC,2,-3.304828239,Adherent,EMEM + 10% FBS,84.1,CVCL_0027,,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,15,SIDM00904,,liver,hepatocellular_carcinoma,,,HEP G2,ACH-000739,HEPG2
HEYA8,HEYA8_OVARY,,,Female,Academic lab,3,-3.515303779,Adherent,RPMI + 10% FBS,92.9,CVCL_8878,,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, low grade serous",,SIDM01215,,ovary,ovary_adenocarcinoma,low_grade_serous,,HEY-A8,ACH-000542,HEYA8
HGC27,HGC27_STOMACH,,907055,Unknown,ECACC,2,-2.829991145,Adherent,MEM + 10% FBS + 2mM L-glutamine + NEAA,59.1,CVCL_1279,1102,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00290,,gastric,gastric_adenocarcinoma,,,HGC-27,ACH-000847,HGC27
HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907056,Male,ATCC,,,,,,CVCL_1280,310,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",61,SIDM00671,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,,HH,ACH-000061,HH
HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938,Female,ATCC,,,,,,CVCL_0002,55,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35,SIDM00829,,blood,AML,M3,,HL-60,ACH-000002,HL60
HLF,HLF_LIVER,,,Male,HSRRB,2,-3.813428824,Adherent,EMEM + 10% FBS,,CVCL_2947,,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,69,SIDM00065,,liver,hepatocellular_carcinoma,,,HLF,ACH-000393,HLF
HMC18,HMC18_BREAST,,,Female,HSRRB,2,-4.52683345,Adherent,RPMI + 10% FBS,96.6,CVCL_2949,,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,35,,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,HMC-1-8,ACH-000721,HMC18
HMCB,HMCB_SKIN,CHL-1,,Female,ATCC,,,,,,CVCL_3317,,skin,Primary,Skin Cancer,Melanoma,,SIDM00914,,skin,melanoma,,,HMCB,ACH-000931,HMCB
HOP62,HOP62_LUNG,,905972,Female,Academic lab,3,-4.019520881,Adherent,RPMI + 10% FBS,77.4,CVCL_1285,1500,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00133,,lung,NSCLC,NSCLC_adenocarcinoma,,HOP-62,ACH-000861,HOP62
HOP92,HOP92_LUNG,,905973,Male,Academic lab,,,,,,CVCL_1286,888,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",,SIDM00134,,lung,NSCLC,,,HOP-92,ACH-000825,HOP92
HOS,HOS_BONE,,907060,Female,ATCC,,,,,,CVCL_0312,1202,bone,Primary,Bone Cancer,Osteosarcoma,13,SIDM00806,,bone,osteosarcoma,,,HOS,ACH-000613,HOS
HPAC,HPAC_PANCREAS,,1298136,Female,ATCC,,,,,,CVCL_3517,744,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,SIDM00670,,pancreas,exocrine,exocrine_adenocarcinoma,,HPAC,ACH-000270,HPAC
HPAFII,HPAFII_PANCREAS,,724869,Male,ATCC,,,,,,CVCL_0313,889,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",44,SIDM00669,,pancreas,exocrine,exocrine_adenocarcinoma,,HPAF-II,ACH-000094,HPAFII
HPBALL,HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1820,,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",14,,,blood,ALL,t_cell,,HPB-ALL,ACH-000942,HPBALL
HS294T,HS294T_SKIN,"A101D, Hs 294.T",,Male,ATCC,2,-3.484986488,Adherent,DMEM + 10% FBS,84.9,CVCL_0331,,lymph_node,Metastasis,Skin Cancer,Melanoma,56,SIDM00800,,skin,melanoma,,,HS 294T,ACH-000014,HS294T
HS578T,HS578T_BREAST,,905957,Female,ATCC,3,-4.536653604,Adherent,DMEM + 10% FBS,70.9,CVCL_0332,655,breast,Primary,Breast Cancer,Carcinoma,74,SIDM00135,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,HS 578T,ACH-000148,HS578T
HS611T,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,ATCC,,,,,,CVCL_0823,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Hodgkins",48,,,lymphocyte,hodgkin_lymphoma,,,HS 611.T,ACH-000069,HS611T
HS683,HS683_CENTRAL_NERVOUS_SYSTEM,,1240150,Male,ATCC,2,-3.664959709,Adherent,DMEM + 10% FBS,60.7,CVCL_0844,769,central_nervous_system,Primary,Brain Cancer,Oligodendroglioma,76,SIDM00666,,central_nervous_system,glioma,oligodendroglioma,,HS 683,ACH-000067,HS683
HS688AT,HS688AT_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0846,,fibroblast,Primary,Fibroblast,Skin,69,,,fibroblast,fibroblast_skin,,,HS 688(A).T,ACH-000306,HS688AT
HS729,HS729_SOFT_TISSUE,,,Male,ATCC,2,-4.426444421,Adherent,DMEM + 5% FBS,72,CVCL_0871,,fibroblast,Primary,Fibroblast,Soft tissue,74,,,fibroblast,fibroblast_soft_tissue,,,HS 729,ACH-000133,HS729
HS746T,HS746T_STOMACH,,1240151,Male,ATCC,2,-3.633396691,Adherent,DMEM + 10% FBS,82.4,CVCL_0333,1850,soft_tissue,Metastasis,Gastric Cancer,Adenocarcinoma,74,SIDM00665,,gastric,gastric_adenocarcinoma,,,HS 746T,ACH-000616,HS746T
HS766T,HS766T_PANCREAS,,1298141,Male,ATCC,2,-4.27468017,Adherent,DMEM + 10% FBS,93.8,CVCL_0334,1843,lymph_node,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",46,SIDM00664,,pancreas,exocrine,exocrine_adenocarcinoma,,HS 766T,ACH-000178,HS766T
HS822T,HS822T_FIBROBLAST,Hs 822.T,,Female,ATCC,,,,,,CVCL_0933,,fibroblast,Primary,Fibroblast,Bone,9,,,fibroblast,fibroblast_bone,,,,ACH-000229,HS822T
HS839T,HS839T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0941,,fibroblast,,Fibroblast,Skin,42,,,fibroblast,fibroblast_skin,,,HS 839.T,ACH-000180,HS839T
HS852T,HS852T_SKIN,,,Male,ATCC,2,-3.329738299,,DMEM + 10% FBS,93.9,CVCL_0950,,skin,,Skin Cancer,Melanoma,53,,,skin,melanoma,,,HS 852.T,ACH-000274,HS852T
HS888T,HS888T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0979,,fibroblast,,Fibroblast,Bone,20,,,fibroblast,fibroblast_bone,,,HS888T,ACH-000154,HS888T
HS895T,HS895T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0993,,fibroblast,Metastasis,Fibroblast,Skin,48,,,fibroblast,fibroblast_skin,,,HS 895.T,ACH-000043,HS895T
HS934T,HS934T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_1031,,fibroblast,Primary,Fibroblast,Skin,58,,,fibroblast,fibroblast_skin,,,HS 934.T,ACH-000194,HS934T
HS936T,HS936T_SKIN,,,Male,ATCC,2,-3.679524078,Adherent,DMEM + 10% FBS,85,CVCL_1033,,skin,,Skin Cancer,Melanoma,,,,skin,melanoma,,,HS 936.T,ACH-000801,HS936T
HS940T,HS940T_FIBROBLAST,,1298145,Male,ATCC,,,,,,CVCL_1038,707,fibroblast,Primary,Fibroblast,Skin,57,SIDM00662,,fibroblast,fibroblast_skin,,,HS 940.T,ACH-000135,HS940T
HS944T,HS944T_SKIN,,,Male,ATCC,2,-4.882254849,Adherent,DMEM + 10% FBS,88.7,CVCL_1040,,skin,Metastasis,Skin Cancer,Melanoma,51,SIDM00063,,skin,melanoma,,,HS 944.T,ACH-000632,HS944T
HSC2,HSC2_UPPER_AERODIGESTIVE_TRACT,,753562,Male,HSRRB,2,-5.380784004,,EMEM + 10% FBS,82.9,CVCL_1287,944,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,69,SIDM00590,,upper_aerodigestive,upper_aerodigestive_squamous,,,HSC-2,ACH-000472,HSC2
HSC3,HSC3_UPPER_AERODIGESTIVE_TRACT,,907061,Male,HSRRB,2,-2.800922926,,EMEM + 10% FBS,79.8,CVCL_1288,648,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,64,SIDM00589,,upper_aerodigestive,upper_aerodigestive_squamous,,,HSC-3,ACH-000778,HSC3
HSC4,HSC4_UPPER_AERODIGESTIVE_TRACT,,907062,Male,HSRRB,,,,,,CVCL_1289,99,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,64,SIDM00588,,upper_aerodigestive,upper_aerodigestive_squamous,,,HSC-4,ACH-000546,HSC4
HT,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907063,Male,ATCC,2,-4.293554699,,RPMI + 10% FBS,62.4,CVCL_1290,745,ascites,,Lymphoma,"B-cell, Non-Hodgkins",70,SIDM00661,,lymphocyte,non_hodgkin_lymphoma,b_cell,,HT,ACH-000914,HT
HT1080,HT1080_SOFT_TISSUE,,907064,Male,ATCC,2,-3.87193508,Adherent,EMEM + 10% FBS,85.9,CVCL_0317,1391,soft_tissue,Metastasis,Sarcoma,Fibrosarcoma,35,SIDM00828,,soft_tissue,fibrosarcoma,,,HT-1080,ACH-000054,HT1080
HT115,HT115_LARGE_INTESTINE,,907289,Unknown,ECACC,3,-3.690000668,Adherent,DMEM + 15% FBS + 2mM Glutamax,70.2,CVCL_2520,2099,Colon,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00534,,colorectal,colorectal_adenocarcinoma,,,HT115,ACH-000986,HT115
HT1197,HT1197_URINARY_TRACT,,907065,Male,ATCC,2,-2.868265098,Adherent,EMEM + 10% FBS,72,CVCL_1291,1533,urinary_tract,Primary,Bladder Cancer,Carcinoma,44,SIDM00676,,urinary_tract,bladder_carcinoma,,,HT-1197,ACH-000547,HT1197
HT1376,HT1376_URINARY_TRACT,,907066,Female,ATCC,2,-2.69945809,Adherent,EMEM + 10% FBS,51.4,CVCL_1292,1211,urinary_tract,Primary,Bladder Cancer,Carcinoma,58,SIDM00678,,urinary_tract,bladder_carcinoma,,,HT-1376,ACH-000724,HT1376
HT144,HT144_SKIN,,907067,Male,ATCC,2,-3.27156035,Adherent,McCoy's 5A + 10% FBS,49.5,CVCL_0318,1193,skin,Metastasis,Skin Cancer,Melanoma,29,SIDM00695,,skin,melanoma,,,HT-144,ACH-000322,HT144
HT29,HT29_LARGE_INTESTINE,,905939,Female,ATCC,2,-4.44775747,Adherent,McCoy's 5A + 10% FBS,85.2,CVCL_0320,1212,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,44,SIDM00136,,colorectal,colorectal_adenocarcinoma,,,HT-29,ACH-000552,HT29
HT55,HT55_LARGE_INTESTINE,,907287,Unknown,ECACC,3,-2.82413523,Adherent,EMEM + 20% FBS + Glutamine + NEAA,69.4,CVCL_1294,1688,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00541,,colorectal,colorectal_adenocarcinoma,,,HT55,ACH-000926,HT55
HUCCT1,HUCCT1_BILIARY_TRACT,,907069,Male,HSRRB,2,-3.66861864,,RPMI + 10% FBS,91.4,CVCL_0324,1213,ascites,Metastasis,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic",,SIDM00587,,bile_duct,cholangiocarcinoma,intrahepatic,,HUCCT1,ACH-000976,HUCCT1
HUG1N,HUG1N_STOMACH,,,Male,RIKEN,0,-1.073709002,,RPMI + 10% FBS,80.8,CVCL_4846,,stomach,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",55,,,gastric,gastric_adenocarcinoma,tubular,,HUG1-N,ACH-000239,HUG1N
HUH1,HUH1_LIVER,,1298146,Male,HSRRB,2,-5.58088768,Adherent,DMEM + 10% FBS,96.1,CVCL_2956,1855,liver,Primary,Liver Cancer,"Hepatocellular Carcinoma, HBs-antigen carrier",53,SIDM00586,,liver,hepatocellular_carcinoma,hbs_antigen_carrier,,HUH-1,ACH-000475,HUH1
HUH28,HUH28_BILIARY_TRACT,,,Female,HSRRB,,,,,,CVCL_2955,,biliary_tract,Primary,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic",,,,bile_duct,cholangiocarcinoma,intrahepatic,,HUH28,ACH-000808,HUH28
HUH6,HUH6_LIVER,,,Male,RIKEN,2,-4.753797396,,DMEM + 10% FBS,85.2,CVCL_4381,,liver,,Liver Cancer,Hepatoblastoma,,SIDM00062,,liver,hepatoblastoma,,,HUH-6,ACH-000671,HUH6
HUNS1,HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,2,-3.234529374,Suspension,RPMI + 15% FBS,70.2,CVCL_2526,,haematopoietic_and_lymphoid_tissue,,Myeloma,Multiple Myeloma,,,,plasma_cell,multiple_myeloma,,,HUNS1,ACH-000829,HUNS1
HUPT3,HUPT3_PANCREAS,,907285,Male,DSMZ,4,-4.521543264,Adherent,MEM + 10% FBS,70.2,CVCL_1299,109,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",66,SIDM00533,,pancreas,exocrine,exocrine_adenocarcinoma,,HUP-T3,ACH-000118,HUPT3
HUPT4,HUPT4_PANCREAS,,907286,Male,DSMZ,,,,,,CVCL_1300,618,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",60,SIDM00531,,pancreas,exocrine,exocrine_adenocarcinoma,,HUP-T4,ACH-000213,HUPT4
HUT78,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,,,,,,CVCL_0337,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",53,SIDM00851,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,,HUT 78,ACH-000509,HUT78
IALM,IALM_LUNG,,910779,Male,RIKEN,0,-0.974954568,Adherent,F12 + 10% FBS,67.9,CVCL_1302,1792,skin,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",68,SIDM00306,,lung,NSCLC,NSCLC_large_cell,,IA-LM,ACH-000672,IALM
IGR1,IGR1_SKIN,,907169,Male,DSMZ,2,-4.926037137,Adherent,DMEM + 10% FBS,91.4,CVCL_1303,1534,lymph_node,Metastasis,Skin Cancer,Melanoma,42,SIDM01060,,skin,melanoma,,,IGR-1,ACH-000882,IGR1
IGR37,IGR37_SKIN,,1240153,Male,DSMZ,,,,,,CVCL_2075,1535,lymph_node,Metastasis,Skin Cancer,Melanoma,26,SIDM01066,,skin,melanoma,,,IGR-37,ACH-000650,IGR37
IGR39,IGR39_SKIN,,,Male,DSMZ,2,-4.453872456,Adherent,DMEM + 15% FBS,71.1,CVCL_2076,,skin,Primary,Skin Cancer,Melanoma,26,SIDM01065,,skin,melanoma,,,IGR-39,ACH-000550,IGR39
IGROV1,IGROV1_OVARY,,905968,Female,NCI/DCTD,,,,,,CVCL_1304,1215,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mixed",47,SIDM00151,,ovary,ovary_adenocarcinoma,mixed_endometrioid_clear_cell,,IGROV1,ACH-000966,IGROV1
IM95,IM95_STOMACH,,1240155,Male,HSRRB,0,-2.045242397,Adherent,DMEM + 10% FBS,60,CVCL_2961,405,stomach,Primary,Gastric Cancer,Adenocarcinoma,63,SIDM00602,,gastric,gastric_adenocarcinoma,,,IM95,ACH-000919,IM95
IMR32,IMR32_AUTONOMIC_GANGLIA,,,Male,ATCC,3,-1.935594423,Adherent,EMEM + 10% FBS,60.1,CVCL_0346,,abdomen,Metastasis,Neuroblastoma,,1,SIDM00226,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,IMR-32,ACH-000310,IMR32
IPC298,IPC298_SKIN,,907171,Female,DSMZ,1,-5.801301298,Adherent,RPMI + 10% FBS,94.3,CVCL_1307,77,skin,Primary,Skin Cancer,Melanoma,64,SIDM01059,,skin,melanoma,,,IPC-298,ACH-000915,IPC298
ISHIKAWAHERAKLIO02ER,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,,,Female,ECACC,2,-2.975242628,,MEM + 10% FBS,43.7,CVCL_6543,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,39,SIDM00037,,uterus,endometrial_adenocarcinoma,,,ISHIKAWA (HERAKLIO) 02 ER-,ACH-000961,ISHIKAWAHERAKLIO02ER
ISTMES1,ISTMES1_PLEURA,,907173,Female,ICLC,0,-2.111102216,Adherent,DMEM + 10% FBS + 2mM Glutamax,80,CVCL_1311,1001,pleural_effusion,Primary,Lung Cancer,Mesothelioma,70,SIDM00224,,lung,mesothelioma,,,IST-MES1,ACH-000569,ISTMES1
J82,J82_URINARY_TRACT,,753566,Male,ATCC,0,-1.448660887,Adherent,EMEM + 10% FBS,72.8,CVCL_0359,1232,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,58,SIDM00693,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,J82,ACH-000396,J82
JEKO1,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327765,Female,DSMZ,0,-0.817895499,Suspension,RPMI + 20% FBS,60.3,CVCL_1865,2118,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",78,SIDM01038,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,,JEKO-1,ACH-000357,JEKO1
JHH1,JHH1_LIVER,,1298151,Male,HSRRB,2,-4.67852028,,William's E Medium + 10% FBS,62.7,CVCL_2785,89,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,50,SIDM00618,,liver,hepatocellular_carcinoma,,,JHH-1,ACH-000620,JHH1
JHH2,JHH2_LIVER,,1240157,Male,HSRRB,1,-2.758677814,Adherent,EMEM + 10% FBS,81.7,CVCL_2786,347,ascites,Metastasis,Liver Cancer,Hepatocellular Carcinoma,57,SIDM00617,,liver,hepatocellular_carcinoma,,,JHH-2,ACH-000577,JHH2
JHH4,JHH4_LIVER,,1240158,Male,HSRRB,2,-3.609189375,,EMEM + 10% FBS,54.4,CVCL_2787,931,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,51,SIDM00616,,liver,hepatocellular_carcinoma,,,JHH-4,ACH-000476,JHH4
JHH5,JHH5_LIVER,,,Male,HSRRB,3,-4.741744157,,William's E Medium + 10% FBS,74.9,CVCL_0364,,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,50,,,liver,hepatocellular_carcinoma,,,JHH-5,ACH-000734,JHH5
JHH6,JHH6_LIVER,,1240159,Female,HSRRB,2,-4.970037473,Adherent,William's E Medium + 10% FBS,90.7,CVCL_2788,1824,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,57,SIDM00615,,liver,hepatocellular_carcinoma,,,JHH-6,ACH-000217,JHH6
JHOC5,JHOC5_OVARY,,,Female,RIKEN,3,-3.395910096,,DMEM:F12 (1:1) + 10% FBS + 0.1mM NEAA,82.1,CVCL_4640,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",,,,ovary,ovary_adenocarcinoma,clear_cell,,JHOC-5,ACH-000324,JHOC5
JHOM1,JHOM1_OVARY,,,Female,RIKEN,3,-4.405792717,Adherent,DMEM:F12 (1:1) + 10% FBS + 0.1mM NEAA,63.3,CVCL_4644,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mucinous",88,,,ovary,ovary_adenocarcinoma,mucinous,,JHOM-1,ACH-000237,JHOM1
JHOS2,JHOS2_OVARY,,1479995,Female,RIKEN,1,-4.4984867,,DMEM:F12 (1:1) + 10% FBS,83.8,CVCL_4647,436,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",45,SIDM00305,,ovary,ovary_adenocarcinoma,high_grade_serous,,JHOS-2,ACH-000132,JHOS2
JHUEM1,JHUEM1_ENDOMETRIUM,,,Female,RIKEN,2,-2.47947692,Adherent,DMEM:F12 (1:1) + 15% FBS,57.5,CVCL_4655,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,56,,,uterus,endometrial_adenocarcinoma,,,JHUEM-1,ACH-000928,JHUEM1
JHUEM2,JHUEM2_ENDOMETRIUM,,,Female,RIKEN,,,,,,CVCL_4656,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,62,,,uterus,endometrial_adenocarcinoma,,,JHUEM-2,ACH-000909,JHUEM2
JHUEM3,JHUEM3_ENDOMETRIUM,,,Female,RIKEN,,,,,,CVCL_4657,,endometrium,,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,,,,uterus,endometrial_adenocarcinoma,,,JHUEM-3,ACH-000173,JHUEM3
JHUEM7,JHUEM7_ENDOMETRIUM,,,Female,RIKEN,2,-3.708862615,,DMEM:F12 (1:1) + 10% FBS + NEAA,69.8,CVCL_4658,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,58,,,uterus,endometrial_adenocarcinoma,,,JHUEM-7,ACH-000993,JHUEM7
JIMT1,JIMT1_BREAST,,1298157,Female,DSMZ,3,-6.461418292,,RPMI + 10% FBS,95.5,CVCL_2077,479,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,62,SIDM01037,,breast,breast_ductal_carcinoma,ERneg_HER2pos,basal_A,JIMT-1,ACH-000711,JIMT1
JJN3,JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327766,Female,DSMZ,2,-3.691308299,,DMEM:IMDM (1:1) + 20% FBS,97.6,CVCL_2078,905,bone_marrow,Primary,Myeloma,Multiple Myeloma,57,SIDM01036,,plasma_cell,multiple_myeloma,,,JJN-3,ACH-000653,JJN3
