cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
BRD-K17060750,600054,BRD-K17060750,BRD-K17060750,67.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CN(C)CC(=O)N[C@@H]1CC[C@@H](CCNC(=O)Nc2ccc(F)cc2)O[C@H]1CO
BRD-K19103580,436211,BRD-K19103580,BRD-K19103580,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc2ccc(cc2C1=O)N(C)C
BRD-K20514654,651304,BRD-K20514654,BRD-K20514654,66.0,probe,outreach,,stapled helical peptide,Harvard University,,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CCNC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@]1(C)CCC\C=C/CCC[C@@](C)(NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(O)=O)NC1=O)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O
BRD-K24690302,641721,BRD-K24690302,BRD-K24690302,66.0,probe,chromatin;outreach,HDAC1,inhibitor of HDAC1,Stanley Center for Psychiatric Research at the Broad Institute,,CN(C)CC1CN(C1)C(=O)Nc1cc(ccc1N)-c1ccc(F)cc1
BRD-K26531177,42319,BRD-K26531177,BRD-K26531177,330.0,probe,outreach,,analog of the natural product piperlongumine,Broad Institute of MIT and Harvard,,COc1cc(CCC(=O)N2CCC=CC2=O)cc(OC)c1OC
BRD-K27188169,660798,BRD-K27188169,BRD-K27188169,66.0,probe,outreach,,stapled helical peptide,Dana Farber Cancer Institute,,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
BRD-K27188169:NAVITOCLAX (2:1 MOL/MOL),665818,BRD-K27188169:NAVITOCLAX (2:1 MOL/MOL),BRD-M23096439,50.0,probe,combination,BCL2;BCL2L1;BCL2L2,"stapled helical peptide;inhibitor of BCL2, BCL-xL, and BCL-W",,,CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1.CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
BRD-K27224038,397964,BRD-K27224038,BRD-K27224038,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1
BRD-K27986637,452570,BRD-K27986637,BRD-K27986637,66.0,probe,DOS;outreach,,product of diversity oriented synthesis; screening hit,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc3OCCOc3c2)OCc2cn(CCCC1=O)nn2
BRD-K28456706,651642,BRD-K28456706,BRD-K28456706,66.0,probe,chromatin;lit-search;synthesis,HNF4A,inhibitor of hepatocyte nuclear factor 4 alpha,Broad Institute of MIT and Harvard,,Cc1c(oc2ccc3ccccc3c12)[N+]([O-])=O
BRD-K29086754,448891,BRD-K29086754,BRD-K29086754,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2CC1=O
BRD-K29313308,634814,BRD-K29313308,BRD-K29313308,66.0,probe,chromatin;outreach,HDAC3,inhibitor of HDAC3,Stanley Center for Psychiatric Research at the Broad Institute,,CC(=O)Nc1ccc(cc1)C(=O)Nc1ccc(F)cc1N
BRD-K30019337,437263,BRD-K30019337,BRD-K30019337,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CC(C)NC(=O)N(C)C[C@H]1Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)N(C)C
BRD-K30748066,689506,BRD-K30748066,BRD-K30748066,66.0,probe,kinome,CDK9,inhibitor of CDK9,Broad Institute of MIT and Harvard,,Cc1c(sc(=O)n1C)-c1ccnc(Nc2ccc(cc2)N2CCNCC2)n1
BRD-K33199242,449707,BRD-K33199242,BRD-K33199242,67.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CNC[C@@H]1Oc2ccc(cc2CC(=O)N(C[C@@H]1C)[C@@H](C)CO)N(C)C
BRD-K33514849,401251,BRD-K33514849,BRD-K33514849,34.0,probe,outreach,,screening hit,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
BRD-K34099515,660064,BRD-K34099515,BRD-K34099515,66.0,probe,DOS;outreach,,screening hit,Broad Institute of MIT and Harvard,,CC(C)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
BRD-K34222889,688888,BRD-K34222889,BRD-K34222889,66.0,probe,outreach,,analog of the natural product piperlongumine,Broad Institute of MIT and Harvard,,COc1ccc(cc1)C#CC1=CCCN(C(=O)\C=C\c2cc(OC)c(OC)c(OC)c2)C1=O
BRD-K34485477,446716,BRD-K34485477,BRD-K34485477,33.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CNC[C@@H]1Oc2ccc(NC(=O)CCN3CCOCC3)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K35604418,660230,BRD-K35604418,BRD-K35604418,270.0,probe,outreach,MCL1,inhibitor of MCL1,Dana Farber Cancer Institute,,Cc1cs\c(=N/C2CCCCC2)n1\N=C\c1ccc(O)c(O)c1O
BRD-K37390332,463198,BRD-K37390332,BRD-K37390332,33.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)c3ccncc3)cc2CC1=O
BRD-K41334119,446546,BRD-K41334119,BRD-K41334119,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K41597374,404452,BRD-K41597374,BRD-K41597374,67.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1
BRD-K42260513,687715,BRD-K42260513,BRD-K42260513,66.0,probe,chromatin;lit-search;synthesis,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit,Broad Institute of MIT and Harvard,,CC(C)n1ncc2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O
BRD-K44224150,438564,BRD-K44224150,BRD-K44224150,34.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CNC[C@@H]1Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO
BRD-K45681478,142931,BRD-K45681478,BRD-K45681478,66.0,probe,DOS;outreach,,product of diversity oriented synthesis; screening hit,Broad Institute of MIT and Harvard,,ClC1=C(NCC=C)C(=O)c2ccccc2C1=O
BRD-K48334597,431987,BRD-K48334597,BRD-K48334597,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C1=O
BRD-K48477130,649754,BRD-K48477130,BRD-K48477130,66.0,probe,lit-search;synthesis,,screening hit,Stanley Center for Psychiatric Research at the Broad Institute,,Cc1n[nH]c2NC3=C([C@@H](c12)c1ccccc1)C(=O)CC(C)(C)C3
BRD-K49290616,414479,BRD-K49290616,BRD-K49290616,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,OC[C@@H]1O[C@@H](CC(=O)NCc2ccncn2)CC[C@H]1NC(=O)c1ccc(F)cc1
BRD-K50799972,596868,BRD-K50799972,BRD-K50799972,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,COc1ccccc1-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccncc1
BRD-K51490254,616355,BRD-K51490254,BRD-K51490254,66.0,probe,chromatin;outreach,HDAC6;HDAC8,inhibitor of HDAC6 and HDAC8,Stanley Center for Psychiatric Research at the Broad Institute,,ONC(=O)c1cccc(c1)C(=O)Nc1ccccc1
BRD-K51831558,687661,BRD-K51831558,BRD-K51831558,66.0,probe,chromatin;lit-search;synthesis,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit,Broad Institute of MIT and Harvard,,CC(C)n1ncc2c(cc(Br)cc12)C(=O)NCc1c(C)cc(C)[nH]c1=O
BRD-K52037352,450415,BRD-K52037352,BRD-K52037352,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)NC3CCCCC3)cc2CC1=O
BRD-K55116708,444779,BRD-K55116708,BRD-K55116708,66.0,probe,DOS;outreach,,product of diversity oriented synthesis; inhibitor of leukemic stem cells,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc2ccccc2N)Oc2c(NC(=O)Nc3ccccc3)cccc2C1=O
BRD-K55473186,651306,BRD-K55473186,BRD-K57252013,66.0,probe,outreach,NOTCH1,stapled helical peptide targeting NOTCH1,Harvard University,,CCC(C)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)O)NC(=O)CCNC(=O)C)C(=O)NC1(C)CCCC=CCCCC(C)(NC(=O)C(CCCNC(=N)N)NC(=O)C(CS)NC(=O)C(CC(C)C)NC1=O)C(=O)NC(Cc2c[nH]cn2)C(=O)NC(Cc3c[nH]cn3)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N
BRD-K58730230,660797,BRD-K58730230,BRD-K58730230,66.0,probe,outreach,,stapled helical peptide,Dana Farber Cancer Institute,,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
BRD-K61166597,348633,BRD-K61166597,BRD-K61166597,66.0,probe,chromatin;outreach,,inhibitor of HDAC1 and HDAC2,Stanley Center for Psychiatric Research at the Broad Institute,,Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1
BRD-K63431240,404566,BRD-K63431240,BRD-K63431240,66.0,probe,DOS;outreach,,product of diversity oriented synthesis; screening hit,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
BRD-K64610608,438776,BRD-K64610608,BRD-K64610608,33.0,probe,DOS;outreach,,product of diversity oriented synthesis; screening hit,Broad Institute of MIT and Harvard,,COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]1Oc2c(NC(=O)Nc3cccc4ccccc34)cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO
BRD-K66453893,387472,BRD-K66453893,BRD-K66453893,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O
BRD-K66532283,376693,BRD-K66532283,BRD-K66532283,66.0,probe,chromatin;outreach,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2,Stanley Center for Psychiatric Research at the Broad Institute,,Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1
BRD-K70511574,648987,BRD-K70511574,BRD-K62825658,66.0,probe,kinome,PLK1,inhibitor of polo-like kinase 1 (PLK1),Selleck,S1485,COc1ccc(cc1)S(=O)(=O)N(C(=O)C)c2ccccc2C=Cc3cc[n+]([O-])cc3
BRD-K71781559,425733,BRD-K71781559,BRD-K71781559,66.0,probe,outreach,,screening hit,National Cancer Institute Chemotherapeutic Agents Repository,,OC(=O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1
BRD-K71935468,58566,BRD-K71935468,BRD-K71935468,83.0,probe,DOS;outreach,,inducer of ROS,Broad Institute of MIT and Harvard,,COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c3ccccc3OCCO)[C@@H]([C@@H](OC4=O)c3ccccc3)c3ccccc3)C(=O)N3CCN(CC3)c3ncccn3)c2c1)C(=O)OC
BRD-K75293299,438691,BRD-K75293299,BRD-K75293299,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
BRD-K78574327,435898,BRD-K78574327,BRD-K78574327,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O
BRD-K79669418,660139,BRD-K79669418,BRD-K79669418,66.0,probe,outreach,MDM2;MDM4,inhibitor of MDM4-p53 interaction,Dana Farber Cancer Institute,,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@](C)(CCCCCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(C)=O)[C@@H](C)O
BRD-K80183349,376307,BRD-K80183349,BRD-K80183349,66.0,probe,chromatin;outreach,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2,Stanley Center for Psychiatric Research at the Broad Institute,,CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
BRD-K84807411,437906,BRD-K84807411,BRD-K84807411,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2c(NC(=O)c3cc(C)nn3C)cccc2C1=O
BRD-K85133207,616408,BRD-K85133207,BRD-K85133207,66.0,probe,chromatin;outreach,HDAC1,inhibitor of HDAC1,Stanley Center for Psychiatric Research at the Broad Institute,,CC(=O)N[C@H]1C[C@H](C1)C(=O)Nc1cc(ccc1N)-c1ccc(F)cc1
BRD-K86535717,429535,BRD-K86535717,BRD-K86535717,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC
BRD-K88742110,606670,BRD-K88742110,BRD-K88742110,66.0,probe,chromatin;outreach,HDAC8,inhibitor of HDAC8,Stanley Center for Psychiatric Research at the Broad Institute,,COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1
BRD-K90370028,362207,BRD-K90370028,BRD-K90370028,33.0,probe,outreach,,screening hit,Broad Institute of MIT and Harvard,,CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1
BRD-K92856060,119769,BRD-K92856060,BRD-K92856060,33.0,probe,DOS;outreach,,screening hit,ChemBridge Corporation,7653590,COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12
BRD-K94991378,53556,BRD-K94991378,BRD-K94991378,83.0,probe,DOS;outreach,,inducer of ROS,Broad Institute of MIT and Harvard,,COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c2ccccc2OCCO)[C@H]([C@H](OC3=O)c2ccccc2)c2ccccc2)C(=O)NCC=C)c2cc(ccc12)C#CCC(C(=O)OC)C(=O)OC
BRD-K96431673,417262,BRD-K96431673,BRD-K96431673,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,CN1CCN(CC1)C(=O)C[C@H]1CC[C@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1
BRD-K96970199,410703,BRD-K96970199,BRD-K96970199,66.0,GE-active,DOS;profiling,,product of diversity oriented synthesis,Broad Institute of MIT and Harvard,,C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1
BRD-K97651142,660135,BRD-K97651142,BRD-K97651142,66.0,probe,outreach,,aphrocallistin derivative,Sanford-Burnham Medical Research Institute,,CN(CCc1cc(Br)c(OCCCNc2ncnc3n(C)cnc23)c(Br)c1)C(=O)c1ccc(C)cc1
BRD-K99006945,687395,BRD-K99006945,BRD-K99006945,66.0,probe,chromatin;lit-search;synthesis,,screening hit,Broad Institute of MIT and Harvard,,CCN(CC)c1ccc(cc1)C1=NNC(=O)C[C@H]1C
BRD-K99584050,660140,BRD-K99584050,BRD-K99584050,66.0,probe,outreach,,stapled helical peptide,Dana Farber Cancer Institute,,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@@H](NC1=O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O
BRD-M00053801,660890,BRD-M00053801,BRD-M00053801,66.0,probe,lit-search;synthesis,BCL2,inhibitor of BCL2,Broad Institute of MIT and Harvard,,C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C.C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C
BRD1812,418162,BRD1812,BRD-K73261812,66.0,probe,pilot-set,,screening hit,ChemPacific,46704,Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1
BRD1835,404070,BRD1835,BRD-K62801835,130.0,probe,chromatin;DOS;outreach,EZH2,product of diversity oriented synthesis; screening hit,Broad Institute of MIT and Harvard,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1
BRD4132,3588,BRD4132,BRD-K86574132,160.0,probe,chromatin;pilot-set,,screening hit,ChemDiv Inc.,4998-1380,CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O
BRD6340,12877,BRD6340,BRD-K35716340,33.0,probe,chromatin;pilot-set,,screening hit,ChemDiv Inc.,1988-0090,C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1
BRD8899,608062,BRD8899,BRD-K22828899,33.0,probe,lit-search;synthesis,STK33,inhibitor of serine/threonine kinasase STK33,Broad Institute of MIT and Harvard,,CC(=O)NC[C@@H]1C[C@H](CN1)NS(=O)(=O)c1cccc2cncc(C)c12
BRD8958,418163,BRD8958,BRD-K68548958,66.0,probe,chromatin;pilot-set,EP300,inhibitor of E1A binding protein p300,Princeton BioMolecular Research,OSSK_701387,CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O
BRD9647,37479,BRD9647,BRD-K05649647,33.0,probe,pilot-set,,screening hit,ChemBridge Corporation,7910659,COc1ccc(cc1)N(C(=O)c1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC
BRD9876,19153,BRD9876,BRD-K89329876,130.0,probe,pilot-set,,screening hit,Sigma-Aldrich,425265,CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N
BRD9876:MK-1775 (4:1 MOL/MOL),689136,BRD9876:MK-1775 (4:1 MOL/MOL),BRD-M80099012,66.0,probe,combination,WEE1,screening hit;inhibitor of WEE1,,,CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N.CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1
BREFELDIN A,411714,BREFELDIN A,BRD-A31107743,37.0,probe,pilot-set,ARF1,modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi,ChemBridge Corporation,6908419,CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1
BRIVANIB,606246,BRIVANIB,BRD-K28428262,66.0,clinical,lit-search,FLT1;KDR,inhibitor of VEGFR 1/2,Selleck,S1084,C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C
BYL-719,668495,BYL-719,BRD-K54997624,66.0,clinical,kinome,PIK3CA,inhibitor of PI3K catalytic subunit alpha,Active Biochem,A-1214,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F
C6-CERAMIDE,44554,C6-CERAMIDE,BRD-K08608874,66.0,probe,lit-search,MAPK1;PPP2CA;UGCG,inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A,Sigma-Aldrich,H6524,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCC
CABOZANTINIB,660840,CABOZANTINIB,BRD-K51544265,66.0,FDA,CTEP;kinome,FLT3;KDR;MET;RET,"inhibitor of c-MET, VEGFR2/3, and RET",Selleck,S1119,COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3)c2cc1OC
CAL-101,660430,CAL-101,BRD-K60866521,66.0,clinical,kinome,PIK3CD,inhibitor of PI3K catalytic subunit delta,Selleck,S2226,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
CANERTINIB,606138,CANERTINIB,BRD-K50168500,66.0,clinical,kinome,EGFR;ERBB2,inhibitor of EGFR and HER2,Selleck,S1019,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
CARBOPLATIN,26979,CARBOPLATIN,BRD-K11626735,66.0,FDA,std-of-care,,inducer of DNA damage,Selleck,S1215,O=C1O[Pt]OC(=O)C11CCC1
CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL),660223,CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL),BRD-M63575423,48.0,probe,combination,TOP2A,inducer of DNA damage;inhibitor of topoisomerase II,,,O=C1O[Pt]OC(=O)C11CCC1.COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
